pl_name,hostname,pl_letter,tic_id,pl_trandep,st_teff,st_logg,ra,dec,sy_dist,sy_tmag,Ratio,AB_Mag,Data_Size,Weight
5519.01,5519,PC,443582629,,3443,4.86,167.727736,-3.242816,37.4763,11.7119,5.43E-05,24.12371761,1.034149098,0.5
5521.01,5521,PC,396932137,,6379,4.28293,176.481442,11.37083,137.592,8.94302,0.05971516,13.75226304,1.084288696,0.5
5522.01,5522,PC,366409685,,6294,4.20464,126.388216,10.170581,571.447,11.9589,0.049699004,16.96748531,1.085283265,0.5
5523.01,5523,PC,443616612,,3696,4.68275,169.117028,-3.975441,182.536,13.7701,9.31E-05,25.59765382,1.078709983,0.5
5525.01,5525,PC,345450130,,3288,4.81007,57.875185,9.727861,42.753,11.8693,3.88E-05,24.64660379,1.053239826,0.5
5526.01,5526,PC,335540507,,4788,4.57314,183.023659,-12.684409,106.204,10.8228,0.002149943,19.24118709,1.029158736,0.5
5527.01,5527,PC,415399713,,5862,4.53012,62.853108,10.277208,144.866,10.3965,0.028321114,16.01567869,1.035070634,0.5
5530.01,5530,PC,244170332,,3888,4.71522,6.489351,-5.697646,60.8241,11.3978,0.000128912,22.87152024,1.044807407,0.5
5531.01,5531,PC,88114177,,5788.42,4.37027,148.472166,19.594377,80.6404,8.5727,0.024792143,14.33636935,1.075709756,0.5
5532.01,5532,PC,318836983,,3975,4.5998,41.380404,5.150733,90.9985,11.5212,0.000148353,22.84241552,1.058700748,0.5
5533.01,5533,PC,155093420,,7173,4.13332,102.487722,14.974761,516.56,10.8475,0.114546448,14.94950047,1.042059563,0.5
5536.01,5536,PC,268143410,,6555,3.56,67.324162,26.163578,463.124,10.4756,0.05932355,15.29198671,1.010334761,0.5
5537.01,5537,PC,17555760,,5772,3.56648,67.116707,21.56849,370.57,10.4422,0.021420926,16.36455895,1.023615849,0.5
5538.01,5538,PC,337648770,,4736.5,4.55,138.952916,15.137683,310.197,13.1748,0.001447565,22.02265934,1.018805809,0.5
5539.01,5539,PC,178266267,,5595.7,4.52,128.073179,22.005792,123.647,10.0286,0.017350203,16.17979314,1.033836847,0.5
554.01,554,PC,407966340,,6337.87,4.438,60.748336,9.207768,45.6181,6.4386,0.051551091,11.40745989,1.210509306,0.5
5541.01,5541,PC,231721006,,5805,4.51,80.729774,-53.765798,378.277,12.2916,0.024792143,18.05526935,1.02740267,0.5
5543.01,5543,PC,17385917,,5058,4.50269,66.142172,23.270782,125.194,10.659,0.00562451,18.03324285,1.039923056,0.5
5544.01,5544,PC,68893269,,5086,4.48,74.700815,18.16905,113.205,10.3535,0.00562451,17.72774285,1.028358351,0.5
5545.01,5545,PC,301624989,,4427,4.22028,169.21486,3.363892,592.204,14.245,0.000354354,24.62086144,1.023812813,0.5
5546.01,5546,PC,59744366,,6887.55,3.89433,71.4759,24.113784,924.313,12.3047,0.090278901,16.66518888,1.030542519,0.5
5547.01,5547,PC,63013648,,5509.85,4.39122,117.591236,22.281552,193.901,10.8481,0.014233297,17.21429075,1.035075084,0.5
5548.01,5548,PC,155012162,,5551.25,4.36023,143.919696,16.097471,134.736,9.8978,0.017350203,16.04899314,1.046851913,0.5
5549.01,5549,PC,6499453,,4921,4.11275,80.8597,23.133528,208.148,11.1971,0.003086985,19.22271825,1.053930797,0.5
5550.01,5550,PC,195187769,,5923.8,4.36,128.926789,20.373489,139.794,9.62527,0.028321114,15.24444869,1.08350122,0.5
5551.01,5551,PC,387974148,,3768,4.69159,87.125618,18.179528,99.7999,12.4507,0.000108677,24.10980747,1.03290025,0.5
5552.01,5552,PC,3224605,,5639.5,4.54594,82.384951,33.246886,287.606,11.9901,0.017350203,18.14129314,1.05074886,0.5
5553.01,5553,PC,218354669,,4732.72,4.49669,43.002147,15.055665,103.347,10.6853,0.001447565,19.53315934,1.031621918,0.5
5554.01,5554,PC,91287873,,3997,4.6288,104.74387,28.715768,39.4478,9.83733,0.000148353,21.15854552,1.077731152,0.5
5560.01,5560,PC,238606535,,6781.59,4.05268,132.652502,19.091311,408.274,10.4105,0.08297209,14.86262447,1.031375327,0.5
